name,memberCity,memberCounry,MemberGender,memberAge,CitiesVisited,Countriesvisited,memberDescription,Activitiy,Type,ownerdesc,rating,review
Lhenry86,,,,,"['dallas', ' tx']",[' usa'],[],"Segway Nation Dallas, Dallas", Segway Tours,"

Owner description Segway Nation offers 6 exciting segway tours daily. Our tours visit many of downtown Dallas's historic sites including the famous Dealey Plaza, JFK Memorial, Victory Park, American Airlines Center, Pioneer Plaza, City Hall, Thanks-Giving Square and much more! We have tours that accommodate everyone's interest, ranging from our Historical, Fun Facts, and Sightseeing Tours. It's truely an activity your whole family or the whole office can enjoy! 
",5 of 5 stars,"
CeCe is seriously the best! I was terrified to ride a Segway and she made me feel really comfortable... CeCe gave the best tour of Dallas! So knowledgeable and entertaining!!!
"
jchiester,Arlington,Texas,,,"['dallas', ' tx']",[' usa'],[],"Segway Nation Dallas, Dallas", Segway Tours,"

Owner description Segway Nation offers 6 exciting segway tours daily. Our tours visit many of downtown Dallas's historic sites including the famous Dealey Plaza, JFK Memorial, Victory Park, American Airlines Center, Pioneer Plaza, City Hall, Thanks-Giving Square and much more! We have tours that accommodate everyone's interest, ranging from our Historical, Fun Facts, and Sightseeing Tours. It's truely an activity your whole family or the whole office can enjoy! 
",5 of 5 stars,"
We are local to the Dallas area and wanted a fun activity to do with our 2 teenagers. It's not easy finding something that everybody enjoys, but we did! The Segway tour was awesome! Our guide, Landon, did an excellent job and made the whole experience a lot of fun! We will definitely be coming back!
"
XLTdryvr,Frisco,TX,,,"['las vegas', ' nv', 'freeport', 'grand bahama island', 'dallas', ' tx', 'great exuma', 'pensacola beach', ' fl', 'grapevine', ' tx', 'arlington', ' tx', 'lucayan national park', 'new providence island', 'frisco', ' tx']","[' usa', ' bahamas', 'out islands']",[],"Segway Nation Dallas, Dallas", Segway Tours,"

Owner description Segway Nation offers 6 exciting segway tours daily. Our tours visit many of downtown Dallas's historic sites including the famous Dealey Plaza, JFK Memorial, Victory Park, American Airlines Center, Pioneer Plaza, City Hall, Thanks-Giving Square and much more! We have tours that accommodate everyone's interest, ranging from our Historical, Fun Facts, and Sightseeing Tours. It's truely an activity your whole family or the whole office can enjoy! 
",4 of 5 stars,"
Almost 15 years in Dallas, this was the most fun Ive had! Ive always thought the segway looked interesting. Did my husband go, no me and my friend, yes!
Landon, our wonderful tour guide, is a dare devil. He was such fun yet a patient young man (we are old enough to be his mother). I was afraid at first...


More 


"
Catfish47,Seven Lakes,NC, male , 50-64 ,"['beaufort', ' sc', 'milwaukee', ' wi', 'myrtle beach', ' sc', 'southern pines', ' nc', 'anderson', ' in', 'brookfield', ' wi', 'charlotte', ' nc', 'dallas', ' tx', 'kill devil hills', ' nc', 'lafayette', ' in', 'little river', ' sc', 'midlothian', ' va']",[' usa'],['Retired USAF Lt Col '],"Segway Nation Dallas, Dallas", Segway Tours,"

Owner description Segway Nation offers 6 exciting segway tours daily. Our tours visit many of downtown Dallas's historic sites including the famous Dealey Plaza, JFK Memorial, Victory Park, American Airlines Center, Pioneer Plaza, City Hall, Thanks-Giving Square and much more! We have tours that accommodate everyone's interest, ranging from our Historical, Fun Facts, and Sightseeing Tours. It's truely an activity your whole family or the whole office can enjoy! 
",5 of 5 stars,"
Tour guide Landon was excellent. Very informative and funny all along the way. Lots of great sites and a fun ride. Definitely recommend!!
"
lnlnmartin,Plano,Texas,,,"['dallas', ' tx', 'marathon', ' tx']",[' usa'],[],"Move Studio, Dallas",,"
",5 of 5 stars,"
I have been doing Chogaflow with Valerie Rogers at Move Studio twice weekly for over two years. To say this beautiful yoga practice has changed my life for the better is a real understatement.
Move Studio is the perfect place for this Chogaflow class.
It is a place which nurtures the idea of health and joy. Cell phones are turned...


More 


"
MJCWRIGHT,PORTLAND OREGON,PORTLAND OREGON,,,"['haleiwa', ' hi', 'portland', ' or', 'fort worth', ' tx', 'cabo san lucas', 'dallas', ' tx', 'oklahoma city', ' ok']","[' usa', ' mexico']",[],"Segway Nation Dallas, Dallas", Segway Tours,"

Owner description Segway Nation offers 6 exciting segway tours daily. Our tours visit many of downtown Dallas's historic sites including the famous Dealey Plaza, JFK Memorial, Victory Park, American Airlines Center, Pioneer Plaza, City Hall, Thanks-Giving Square and much more! We have tours that accommodate everyone's interest, ranging from our Historical, Fun Facts, and Sightseeing Tours. It's truely an activity your whole family or the whole office can enjoy! 
",5 of 5 stars,"
Went to Texas to pick up my kid from Air Force graduation and arranged a Segway Tour thru Nation. The wife and I had done a tour of Portland Oregon and even though we live here we did learn things about our own city. So it was a great way to to see the downtown area and learn some history....


More 


"
oralallen82,Little Elm,Texas,,,"['dallas', ' tx']",[' usa'],[],"Segway Nation Dallas, Dallas", Segway Tours,"

Owner description Segway Nation offers 6 exciting segway tours daily. Our tours visit many of downtown Dallas's historic sites including the famous Dealey Plaza, JFK Memorial, Victory Park, American Airlines Center, Pioneer Plaza, City Hall, Thanks-Giving Square and much more! We have tours that accommodate everyone's interest, ranging from our Historical, Fun Facts, and Sightseeing Tours. It's truely an activity your whole family or the whole office can enjoy! 
",5 of 5 stars,"
I have lived in Dallas for over 6 years and never did 1 of these tours. My friend came in from New York and I decided to do a tour. Ce Ce is an awesome tour guide she made the Fun Run Tour interesting and educational. Anytime you are in Dallas and book a tour with Segway Nation and as...


More 


"
Pauliecam2,,,,,"['dallas', ' tx']",[' usa'],[],"Move Studio, Dallas",,"
",5 of 5 stars,"
I discovered Nia at Move. I found that Nia fed my physical, emotional , mental and spiritual self. The community at Move fed my social and a feeling of belonging which I needed. Whatever the class one takes at Move and there are so many great classes, there is still a feeling of being connected and an overall feeling of...


More 


"
Arch1955,Dallas,Texas,,,"['dallas', ' tx', 'belize city', 'cozumel', 'mckinney', ' tx', 'new haven', ' ct', 'paris']","[' usa', ' belize', ' mexico', ' france']",[],"Segway Nation Dallas, Dallas", Segway Tours,"

Owner description Segway Nation offers 6 exciting segway tours daily. Our tours visit many of downtown Dallas's historic sites including the famous Dealey Plaza, JFK Memorial, Victory Park, American Airlines Center, Pioneer Plaza, City Hall, Thanks-Giving Square and much more! We have tours that accommodate everyone's interest, ranging from our Historical, Fun Facts, and Sightseeing Tours. It's truely an activity your whole family or the whole office can enjoy! 
",5 of 5 stars,"
The best Saturday morning fun ever! We had perfect weather and a perfect guide. CeCe is not only informative and conscientious but a heck of a lot of fun! Our group of 8 had a terrific time and we will definitely return. Great job CeCe and thanks for a wonderful experience!!!
"
Lucietx2013,Montreal,Canada,,,"['porto', 'coimbra', 'lagos', 'dallas', ' tx', 'montreal', ' quebec']","[' portugal', ' usa', ' canada']",[],"Segway Nation Dallas, Dallas", Segway Tours,"

Owner description Segway Nation offers 6 exciting segway tours daily. Our tours visit many of downtown Dallas's historic sites including the famous Dealey Plaza, JFK Memorial, Victory Park, American Airlines Center, Pioneer Plaza, City Hall, Thanks-Giving Square and much more! We have tours that accommodate everyone's interest, ranging from our Historical, Fun Facts, and Sightseeing Tours. It's truely an activity your whole family or the whole office can enjoy! 
",5 of 5 stars,"
Wow! What a day! My husband and I visited Dallas from Canada during a 3 day weekend in October with our 3 boys and their girlfriends. We decided to do the segway tour on a sunday as a surprise activity! It was soooooo much fun! I didn't think I could ride a segway but Landon, the best tour guide in...


More 


"
LDK1957,McKinney,United States,,,"['frisco', ' tx', 'dallas', ' tx']",[' usa'],[],"Segway Nation Dallas, Dallas", Segway Tours,"

Owner description Segway Nation offers 6 exciting segway tours daily. Our tours visit many of downtown Dallas's historic sites including the famous Dealey Plaza, JFK Memorial, Victory Park, American Airlines Center, Pioneer Plaza, City Hall, Thanks-Giving Square and much more! We have tours that accommodate everyone's interest, ranging from our Historical, Fun Facts, and Sightseeing Tours. It's truely an activity your whole family or the whole office can enjoy! 
",5 of 5 stars,"
Great tour on a Segway through Downtown Dallas. Loads of fun especially if you have a group of 8 or 10 people.
"
dmc511,Stockton,CA,,,"['san jose', 'chartwell', 'airlie beach', 'singapore', 'glenwood springs', ' co', 'madrid', 'olympic valley', ' ca', 'seville', 'stockton', ' ca', 'vail', ' co', 'yosemite national park', ' ca', 'athens']","[' costa rica', ' south africa', ' australia', ' singapore', ' usa', ' spain', ' greece']",[],"Segway Nation Dallas, Dallas", Segway Tours,"

Owner description Segway Nation offers 6 exciting segway tours daily. Our tours visit many of downtown Dallas's historic sites including the famous Dealey Plaza, JFK Memorial, Victory Park, American Airlines Center, Pioneer Plaza, City Hall, Thanks-Giving Square and much more! We have tours that accommodate everyone's interest, ranging from our Historical, Fun Facts, and Sightseeing Tours. It's truely an activity your whole family or the whole office can enjoy! 
",5 of 5 stars,"
I love Segway tours as you get the intimacy of a walking tour but instead of killing my feet walking and standing you get to ride these very fun devices.
CC did a very good job in providing the tour. I especially thought she did a good job of explaining the JFK assassination while we overlooked the location of the...


More 


"
TiffanyRAM,Dallas,Dallas,,,"['dallas', ' tx']",[' usa'],[],"Move Studio, Dallas",,"
",5 of 5 stars,"
The environment is clean and vibrant, staff is welcoming and knowledgeable, and students are friendly and fun. The payment options are flexible - you can buy a class pass or pay for a single drop-in class. Class offerings include Yoga, Pilates, Zumba, Nia, prenatal Yoga and Pilates, Mommy and Me Yoga, and tons more. You'll be sure to have an...


More 


"
Groovybead,Dallas,Dallas, female , 50-64 ,"['dallas', ' tx', 'port saint joe', ' fl', 'ivins', ' ut', 'portsmouth', ' nh', 'plano', ' tx', 'rancho palos verdes', ' ca', 'apalachicola', ' fl', 'cancun', 'long beach', ' ca', 'miami beach', ' fl', 'seabrook', ' tx', 'tallahassee', ' fl']","[' usa', ' mexico']",[],"Move Studio, Dallas",,"
",5 of 5 stars,"
If you live in or are visiting North Texas - be sure to check out the many exercise classes offered by this beautiful work out studio. The variety of dance classes, yoga, toning and more is sure to please. I recommend trying a Nia dance class..it's gentle yet athletic form of movement is great for all levels of dance experience....


More 


"
BetsyandScott,Dallas,TX, female , 50-64 ,"['dallas', ' tx', 'san francisco', ' ca', 'addison', ' tx', 'puerto morelos', 'healdsburg', ' ca', 'punta cana', 'richardson', ' tx', 'southlake', ' tx', 'austin', ' tx', 'cabo san lucas', 'cancun', 'carmel', ' ca']","[' usa', ' mexico', ' dominican republic']",[],"Move Studio, Dallas",,"
",5 of 5 stars,"
Move Studio is a great spot if/when you're in the Dallas area. No contract for membership and drop-ins are welcome and you can pay by the class...if you're just visiting! The instructors are top notch. It's clean, friendly with all kinds of class offerings - Yoga, Pilates, Zumba, Barre Workouts and Nia Dance!
"
ssnow719,Dallas,Dallas, male , 50-64 ,"['ocho rios', 'puerto morelos', 'garland', ' tx', 'playa mujeres', 'wylie', ' tx', 'dallas', ' tx', 'kauai', ' hi', 'cabo san lucas', 'murphy', ' tx', 'playa del carmen', 'golden', ' co', 'sachse', ' tx']","[' jamaica', ' mexico', ' usa']",[],"Segway Nation Dallas, Dallas", Segway Tours,"

Owner description Segway Nation offers 6 exciting segway tours daily. Our tours visit many of downtown Dallas's historic sites including the famous Dealey Plaza, JFK Memorial, Victory Park, American Airlines Center, Pioneer Plaza, City Hall, Thanks-Giving Square and much more! We have tours that accommodate everyone's interest, ranging from our Historical, Fun Facts, and Sightseeing Tours. It's truely an activity your whole family or the whole office can enjoy! 
",5 of 5 stars,"
A group of four of us took the noon tour on 11/1/04 and our guide Landon did a great job informing of us of all the sites that we passed and stopped at in the city of Dallas. Riding the segway was a different way to see the city and once you get the hang of riding and getting comfortable...


More 


"
Arch1955,Dallas,Texas,,,"['dallas', ' tx', 'belize city', 'cozumel', 'mckinney', ' tx', 'new haven', ' ct', 'paris']","[' usa', ' belize', ' mexico', ' france']",[],"Segway Nation Dallas, Dallas", Segway Tours,"

Owner description Segway Nation offers 6 exciting segway tours daily. Our tours visit many of downtown Dallas's historic sites including the famous Dealey Plaza, JFK Memorial, Victory Park, American Airlines Center, Pioneer Plaza, City Hall, Thanks-Giving Square and much more! We have tours that accommodate everyone's interest, ranging from our Historical, Fun Facts, and Sightseeing Tours. It's truely an activity your whole family or the whole office can enjoy! 
",5 of 5 stars,"
The best Saturday morning fun ever! We had perfect weather and a perfect guide. CeCe is not only informative and conscientious but a heck of a lot of fun! Our group of 8 had a terrific time and we will definitely return. Great job CeCe and thanks for a wonderful experience!!!
"
Lucietx2013,Montreal,Canada,,,"['porto', 'coimbra', 'lagos', 'dallas', ' tx', 'montreal', ' quebec']","[' portugal', ' usa', ' canada']",[],"Segway Nation Dallas, Dallas", Segway Tours,"

Owner description Segway Nation offers 6 exciting segway tours daily. Our tours visit many of downtown Dallas's historic sites including the famous Dealey Plaza, JFK Memorial, Victory Park, American Airlines Center, Pioneer Plaza, City Hall, Thanks-Giving Square and much more! We have tours that accommodate everyone's interest, ranging from our Historical, Fun Facts, and Sightseeing Tours. It's truely an activity your whole family or the whole office can enjoy! 
",5 of 5 stars,"
Wow! What a day! My husband and I visited Dallas from Canada during a 3 day weekend in October with our 3 boys and their girlfriends. We decided to do the segway tour on a sunday as a surprise activity! It was soooooo much fun! I didn't think I could ride a segway but Landon, the best tour guide in...


More 


"
LDK1957,McKinney,United States,,,"['frisco', ' tx', 'dallas', ' tx']",[' usa'],[],"Segway Nation Dallas, Dallas", Segway Tours,"

Owner description Segway Nation offers 6 exciting segway tours daily. Our tours visit many of downtown Dallas's historic sites including the famous Dealey Plaza, JFK Memorial, Victory Park, American Airlines Center, Pioneer Plaza, City Hall, Thanks-Giving Square and much more! We have tours that accommodate everyone's interest, ranging from our Historical, Fun Facts, and Sightseeing Tours. It's truely an activity your whole family or the whole office can enjoy! 
",5 of 5 stars,"
Great tour on a Segway through Downtown Dallas. Loads of fun especially if you have a group of 8 or 10 people.
"
godfrey-moss,Denton,Texas,,,"['destin', ' fl', 'panama city beach', ' fl', 'high point', ' nc', 'houston', ' tx', 'dallas', ' tx', 'lacy lakeview', ' tx', 'las vegas', ' nv', 'albuquerque', ' nm', 'austin', ' tx', 'branson', ' mo', 'kissimmee', ' fl', 'long beach', ' ca']",[' usa'],[],"Segway Nation Dallas, Dallas", Segway Tours,"

Owner description Segway Nation offers 6 exciting segway tours daily. Our tours visit many of downtown Dallas's historic sites including the famous Dealey Plaza, JFK Memorial, Victory Park, American Airlines Center, Pioneer Plaza, City Hall, Thanks-Giving Square and much more! We have tours that accommodate everyone's interest, ranging from our Historical, Fun Facts, and Sightseeing Tours. It's truely an activity your whole family or the whole office can enjoy! 
",5 of 5 stars,"
I am familiar with the Segway and have been on 2 different other Segway tours. But the Dallas downtown tour was awesome. I learned so many facts about Dallas and some of the sights i have never seen before...My sister from CT. was a first time rider......Landon was awesome!! He was really patient, funny and knowledgeable of the area. He...


More 


"
BrandUusiTuuli,London,United Kingdom, male , 50-64 ,"['edinburgh', 'barcelona', 'orba', 'amman', 'carcassonne', 'chicago', ' il', 'new delhi', 'amritsar', 'denia', 'hawaii volcanoes national park', ' hi', 'marrakech', 'mckinney', ' tx']","[' uk', ' spain', ' jordan', ' france', ' usa', ' india', ' morocco']",[],"Segway Nation Dallas, Dallas", Segway Tours,"

Owner description Segway Nation offers 6 exciting segway tours daily. Our tours visit many of downtown Dallas's historic sites including the famous Dealey Plaza, JFK Memorial, Victory Park, American Airlines Center, Pioneer Plaza, City Hall, Thanks-Giving Square and much more! We have tours that accommodate everyone's interest, ranging from our Historical, Fun Facts, and Sightseeing Tours. It's truely an activity your whole family or the whole office can enjoy! 
",5 of 5 stars,"
And so is Landen, (our guide for the afternoon).
My friend and I had a great time riding Segways around Dallas, being guided by Landen, who is a really fun guy.
I had ridden Segways before, but my friend had not. Even so, within minutes Landen had us both flying along sidewalks and across roads confidently and - importantly -...


More 


"
Oceanchic83,San Diego,California, Female ,,"['brisbane', 'daintree', 'green island', 'pokolbin', 'portland', ' or', 'monterey', ' ca', 'chiang mai', 'pebble beach', ' ca', 'yosemite national park', ' ca', 'anchorage', ' ak', 'cairns', 'goleta', ' ca']","[' australia', ' usa', ' thailand']",[],"Segway Nation Dallas, Dallas", Segway Tours,"

Owner description Segway Nation offers 6 exciting segway tours daily. Our tours visit many of downtown Dallas's historic sites including the famous Dealey Plaza, JFK Memorial, Victory Park, American Airlines Center, Pioneer Plaza, City Hall, Thanks-Giving Square and much more! We have tours that accommodate everyone's interest, ranging from our Historical, Fun Facts, and Sightseeing Tours. It's truely an activity your whole family or the whole office can enjoy! 
",5 of 5 stars,"
I had done a Segway tour before and went with girlfriends, two of whom had never ridden before. Our guides Landon and Brittney were not only energetic and fun, they were so great helping everyone feel safe and comfortable. Our group ranged in ages from 20's to 60's and soon after our safety initiation, every single one of us was...


More 


"
647marg,Oswego,New York,,,"['irving', ' tx', 'dallas', ' tx', 'kitchener', ' ontario', 'southlake', ' tx', 'weatherford', ' tx']","[' usa', ' canada']",[],"Segway Nation Dallas, Dallas", Segway Tours,"

Owner description Segway Nation offers 6 exciting segway tours daily. Our tours visit many of downtown Dallas's historic sites including the famous Dealey Plaza, JFK Memorial, Victory Park, American Airlines Center, Pioneer Plaza, City Hall, Thanks-Giving Square and much more! We have tours that accommodate everyone's interest, ranging from our Historical, Fun Facts, and Sightseeing Tours. It's truely an activity your whole family or the whole office can enjoy! 
",5 of 5 stars,"
Thanks to Landon for teaching me how to ride a Segway when I didnt think I could! It's easy!
We had hour and half tour of Dallas and Landon was an amazing and entertaining guide. You'll never want to walk anywhere again after riding a segway!
"
uzzimaster,Princeton,New Jersey,,,"['dallas', ' tx']",[' usa'],[],"Segway Nation Dallas, Dallas", Segway Tours,"

Owner description Segway Nation offers 6 exciting segway tours daily. Our tours visit many of downtown Dallas's historic sites including the famous Dealey Plaza, JFK Memorial, Victory Park, American Airlines Center, Pioneer Plaza, City Hall, Thanks-Giving Square and much more! We have tours that accommodate everyone's interest, ranging from our Historical, Fun Facts, and Sightseeing Tours. It's truely an activity your whole family or the whole office can enjoy! 
",5 of 5 stars,"
We were first time segway tourists and Landon made it an awesome one. He was very informative about the city, fun facts, and polite. Dallas is a nice city to tour around and segway is a fun way to do it. Next time we might do the longer tour. Love riding segway now.
"
marilync61,Oklahoma City,Oklahoma,,,"['dallas', ' tx']",[' usa'],[],"Segway Nation Dallas, Dallas", Segway Tours,"

Owner description Segway Nation offers 6 exciting segway tours daily. Our tours visit many of downtown Dallas's historic sites including the famous Dealey Plaza, JFK Memorial, Victory Park, American Airlines Center, Pioneer Plaza, City Hall, Thanks-Giving Square and much more! We have tours that accommodate everyone's interest, ranging from our Historical, Fun Facts, and Sightseeing Tours. It's truely an activity your whole family or the whole office can enjoy! 
",5 of 5 stars,"
We were a party of 6, most of whom had never rode a Segway before. Landon was our trainer/tour guide and he made our adventure totally awesome! He was helpful, charming, witty, considerate and just a very happy person! By the time the adventure was over, we were all able to navigate quite easily! Thank you Landon!
"
BrandUusiTuuli,London,United Kingdom, male , 50-64 ,"['edinburgh', 'barcelona', 'orba', 'amman', 'carcassonne', 'chicago', ' il', 'new delhi', 'amritsar', 'denia', 'hawaii volcanoes national park', ' hi', 'marrakech', 'mckinney', ' tx']","[' uk', ' spain', ' jordan', ' france', ' usa', ' india', ' morocco']",[],"Segway Nation Dallas, Dallas", Segway Tours,"

Owner description Segway Nation offers 6 exciting segway tours daily. Our tours visit many of downtown Dallas's historic sites including the famous Dealey Plaza, JFK Memorial, Victory Park, American Airlines Center, Pioneer Plaza, City Hall, Thanks-Giving Square and much more! We have tours that accommodate everyone's interest, ranging from our Historical, Fun Facts, and Sightseeing Tours. It's truely an activity your whole family or the whole office can enjoy! 
",5 of 5 stars,"
And so is Landen, (our guide for the afternoon).
My friend and I had a great time riding Segways around Dallas, being guided by Landen, who is a really fun guy.
I had ridden Segways before, but my friend had not. Even so, within minutes Landen had us both flying along sidewalks and across roads confidently and - importantly -...


More 


"
647marg,Oswego,New York,,,"['irving', ' tx', 'dallas', ' tx', 'kitchener', ' ontario', 'southlake', ' tx', 'weatherford', ' tx']","[' usa', ' canada']",[],"Segway Nation Dallas, Dallas", Segway Tours,"

Owner description Segway Nation offers 6 exciting segway tours daily. Our tours visit many of downtown Dallas's historic sites including the famous Dealey Plaza, JFK Memorial, Victory Park, American Airlines Center, Pioneer Plaza, City Hall, Thanks-Giving Square and much more! We have tours that accommodate everyone's interest, ranging from our Historical, Fun Facts, and Sightseeing Tours. It's truely an activity your whole family or the whole office can enjoy! 
",5 of 5 stars,"
Thanks to Landon for teaching me how to ride a Segway when I didnt think I could! It's easy!
We had hour and half tour of Dallas and Landon was an amazing and entertaining guide. You'll never want to walk anywhere again after riding a segway!
"
