name,memberCity,memberCounry,MemberGender,memberAge,CitiesVisited,memberDescription,Activitiy,Type,ownerdesc,rating,review
JackJack6,Los Angeles,California, female , 25-34 ,"Los Angeles, CA, USA,Haleiwa, HI, USA,Hauula, HI, USA,Solvang, CA, USA,Honolulu, HI, USA,Kapaa, HI, USA,Santa Clarita, CA, USA,Kapolei, HI, USA,Anaheim, CA, USA,Buena Park, CA, USA,Cairo, Egypt,West Hollywood, CA, USA,",[],"Burke Williams Spa, Los Angeles"," Spas
",,,"
I would spend the money on an amazing massage- but it is NOT the case here. You pay for the amenities, a huge locker room that gets packed with women bumping into you, steam, sauna, jacuzzi (which I have never been comfortable using in any public spa for cleanliness issues-yuck) a quiet room, and then a person in a hallway...


More 


"
Nanise1978,encino,ca, female , 35-49 ,"Los Angeles, CA, USA,San Diego, CA, USA,Burbank, CA, USA,New York City, NY, USA,Oceanside, CA, USA,Barcelona, Spain,Ojai, CA, USA,Pasadena, CA, USA,San Francisco, CA, USA,Solvang, CA, USA,Camarillo, CA, USA,Anaheim, CA, USA,",[],"Burke Williams Spa, Los Angeles"," Spas
",,5 of 5 stars,"
Come here at least once a year because it is a little pricier than what I am used to paying for for a massage. If you want to get away from the hubby and little one for a couple hours of relaxtion and quiet time this is the place to be. The massages are ok. I have yet to find...


More 


"
alfanarraga,,,,,"Bareyo, Spain,Ezcaray, Spain,Los Angeles, CA, USA,Los Palacios y Villafranca, Spain,Vizcaya Province,",[],"Luxe Hotels Sanctuary Spa, Los Angeles",,,,
vish201,Mumbai,Mumbai, male , 35-49 ,"Mumbai (Bombay), India,Pune, India,Udupi, India,Los Angeles, CA, USA,Karnataka,Savannah, GA, USA,Silvassa, India,Chennai (Madras), India,Chikamagalur, India,Gokarna, India,Hyderabad, India,Madurai, India,",[u'A good hotel must serve:\nA good king sized feather bed with uber soft pillows\nClean towels\nA fine vegetarian cuisine.... '],"VIP Tours of California, Los Angeles"," Tours
",,5 of 5 stars,"
Two stars for our Tour guide-cum-bus driver;his name was Mathhews(I hope am right).
He was impeccably dressed with a suit to boot.
The crowd was truly global-Australia,UK;Guatemala;Mexico;Japan et al.
He had an amiable disposition and generally livened up the tour by chatting with all the passengers and on top of it he had a great sense of humour.
The bus...


More 


"
AmyBee241,London,United Kingdom,,,"London, UK,Los Angeles, CA, USA,Rayleigh, UK,Beverly Hills, CA, USA,Hastings, UK,",[],"VIP Tours of California, Los Angeles"," Tours
",,5 of 5 stars,"
So we went to Los Angeles in August 2013 and we had our grand tour on the 26th of that month. WE HAD AN AMAZING TIME - all thanks to our tremendous tour guide - Jim.
He was full-of life non stop and explained everything with so much information. He stopped everywhere which was advertised - and more. He was...


More 


"
Mrs_shelly,LA,LA,,,"Los Angeles, CA, USA,",[],"Allen Edwards Salon & Serenity Spa, Los Angeles",,,5 of 5 stars,"
The brentwood location is so convenient and the staff is amazing at making you feel welcome and taken care of, there are definitely a lot of regulars( me being one of them) and the atmosphere is so upbeat and hip. The reception is wonderful! so kind and willing to accommodate you in anyway!
They have so many spa packages that...


More 


"
silkroadworker,,,,,"Los Angeles, CA, USA,Hong Kong, China,Canberra, Australia,Budapest, Hungary,Engelberg, Switzerland,Kaohsiung, Taiwan,Malmo, Sweden,Seville, Spain,Taitung, Taiwan,Amsterdam, The Netherlands,Berlin, Germany,Mai Khao, Thailand,",[],"Downtown LA Bikes, Los Angeles",,,,"
Took about 20 minutes or so to rent out two bicycles. Staff were knowledgeable and friendly.
They have racers, cruisers and geeky college student type bikes for rent. I hoped to get an urban commuter hardtail but they don't have anything like that.
The bike, apart from being less fun to ride because it was a dork-ocycle (original coinage there!)...


More 


"
Misskennedy,ca,ca,,,"Los Angeles, CA, USA,",[],"Allen Edwards Salon & Serenity Spa, Los Angeles",,,5 of 5 stars,"
Having recently moved to Los Angeles I did my research to try and find a good hairdresser. Allen Edwards had good write ups and was marketed as a high end salon. I booked an appointment at the Studio City salon with a hairdresser called Marylin. When i arrived at the salon i was impressed by the front entrance and waiting...


More 


"
jj143,brentwood,ca,,,"Beverly Hills, CA, USA,Los Angeles, CA, USA,",[],"Allen Edwards Salon & Serenity Spa, Los Angeles",,,5 of 5 stars,"
I've been a client of the Woodland Hills & Brentwood (Santa Monica) locations for years and I've never been disappointed! The staff is very friendy and professional, and the services are AMAZING! I love the spa treatments like their AE Signature Spa Facial & their swedish massages! The color and cuts are also equally as good! I definately recommend this...


More 


"
jasonbQ9599NO,,,,,"Wellington, New Zealand,New York City, NY, USA,Orlando, FL, USA,Vancouver, British Columbia, Canada,Los Angeles, CA, USA,Arlington, VA, USA,Brooklyn, NY, USA,Lower Hutt, New Zealand,Washington DC, DC, USA,Anaheim, CA, USA,Las Vegas, NV, USA,San Diego, CA, USA,",[],"VIP Tours of California, Los Angeles"," Tours
",,5 of 5 stars,"
The tour is much the same as it was when I did it in 1996, it needs some updating - Venice beach is no longer the lovely place you want to get dropped off to walk around - you might be safer in Tijiuana. Its really quite seedy now. They would be better going to Santa Monica.
"
EladAvigan,Bat Yam,Israel, male , 25-34 ,"New York City, NY, USA,Tel Aviv, Israel,El Paso, TX, USA,Los Angeles, CA, USA,Las Vegas, NV, USA,Jaffa, Israel,Sedona, AZ, USA,Miami Beach, FL, USA,Boulder City, NV, USA,Florence, Italy,Rome, Italy,Berlin, Germany,",[],"VIP Tours of California, Los Angeles"," Tours
",,5 of 5 stars,"
Went with them to San Diego Zoo in July 2014
We booked them at the advice of the hotel concierge at Hacienda Hotel in El Segundo. Turned out to be a huge mistake!
The driver was late to pick us up (we were the first he picked up), then he went to pick up more people from other hotels, drove...


More 


"
mcal3K,los angeles,los angeles, female , 50-64 ,"Paris, France,New York City, NY, USA,San Francisco, CA, USA,Amsterdam, The Netherlands,Florence, Italy,Portland, OR, USA,Finger Lakes,Ghent, Belgium,Rome, Italy,Venice, Italy,Masai Mara National Reserve, Kenya,Normandy,","[u'I have tried to travel as much as possible since I was a teenager. Money has often been an issue, but I\'ve learned that travel doesn\'t have to require going a great distance, as there is a lot to discover in California itself. But when I have had the chances to go abroad, I have experienced several different circumstances: I\'ve traveled with young children and then teens and fellow adults (as my kids have grown). I\'ve traveled solo and as part of a couple as well. For me, travel means taking the time to explore and discover, not just seeing the ""required"" sites. I love to walk through cities as much as possible so that I I see the places (small ""p"") as well as the Places. There are times when I have splurged, but times when I have been on a very tight budget. (Traveling with a family of 5, you almost have to splurge just for budget accommodations!) ""Blending with the locals"" is an ideal I\'d like to achieve because ""wanting the comforts of home"" doesn\'t suit me. ']","Accomplice: Hollywood, Los Angeles",,,,"
I would recommend this activity for California visitors and residents alike. The ""accomplice"" ploy itself starts out corny, and it's awkward when the group is trying to get started, get ""into it,"" etc., but it really builds and becomes quite a bit of fun. Once you've slogged through the initial searching for clues and you get the hang of it,...


More 


"
KAS369,Ocala,Florida,,,"San Antonio, TX, USA,Ocala, FL, USA,Los Angeles, CA, USA,Arlington Heights, IL, USA,Belleview, FL, USA,Bryce Canyon National Park, UT, USA,Fort Lauderdale, FL, USA,Marathon, FL, USA,",[],"VIP Tours of California, Los Angeles"," Tours
",,5 of 5 stars,"
We went on the Los Angeles City Tour and Hollywood costing $65 each for an alleged 5 hour tour. The van bus was nice enough and air conditioned and they did pick us up at our hotel at 10:30 am. They then took us to an office to pay and it was 11:10 before we boarded the tour bus. Our...


More 


"
aussie-on-vacation,australia,australia, male , 35-49 ,"Cairo, Egypt,Coolangatta, Australia,Copenhagen, Denmark,Cozumel, Mexico,Port Vila, Vanuatu,St. Petersburg, Russia,Washington DC, DC, USA,Acapulco, Mexico,Broadbeach, Australia,Dunedin, New Zealand,London, UK,Los Angeles, CA, USA,",[],"VIP Tours of California, Los Angeles"," Tours
",,5 of 5 stars,"
We did the Beverly Hills & Los Angeles tour while staying at Crown Plaza Lax.
After reading some reviews here on TA, I was a little worried about booking with this guys.
Well it turned out to be a great 6 hrs seeing the sights....Richard the driver /guide was fantastic.
He provided us with a outstanding tour.
"
737Rachel,Dublin,Ireland, female , 25-34 ,"Las Vegas, NV, USA,Los Angeles, CA, USA,Kusadasi, Turkey,San Francisco, CA, USA,New York City, NY, USA,Maspalomas, Spain,Puerto Rico, Spain,Santa Clarita, CA, USA,London, UK,Manchester, UK,Orlando, FL, USA,Paris, France,",[],"VIP Tours of California, Los Angeles"," Tours
",,5 of 5 stars,"
Our six flag trip was booked with these. Firstly they told us they did not do pick up/drop off at our hotel (Beverly Garland) that we would have to make our way into the Roosevelt in Hollywood and be there for 8:15am. Our booking was confirmed through email before we left and when the time came we were not collected....


More 


"
MidgieMan,Glasgow,United Kingdom, male , 35-49 ,"Krakow, Poland,Prague, Czech Republic,Val Thorens, France,Glasgow, UK,Los Angeles, CA, USA,Manchester, UK,Bansko, Bulgaria,Carmel, CA, USA,Costa Adeje, Spain,Leigh, UK,Macot-la-Plagne, France,Oswiecim, Poland,",[],"VIP Tours of California, Los Angeles"," Tours
",,5 of 5 stars,"
Ok, so L.A. is one very big city with an inefficient road network and horrendous traffic. So I wasnt really expexting too much out of the 6-7 hour ""Grand Tour of L.A."". Pick up was 30 min late. About 16 of us on small coach. Had 20 mins at Venice Beach, 45 mins at Chinese Theatre, 65 mins at Farmers...


More 


"
Lguerbert,,,,,"Paris, France,New York City, NY, USA,Las Vegas, NV, USA,Los Angeles, CA, USA,Venice, Italy,Atlantic City, NJ, USA,Lectoure, France,Saint-Puy, France,Washington DC, DC, USA,West Hollywood, CA, USA,Santa Monica, CA, USA,",[],"Luxe Hotels Sanctuary Spa, Los Angeles",,,,
CaspianJVC,Brisbane,Australia, male , 25-34 ,"San Francisco, CA, USA,Brisbane, Australia,New York City, NY, USA,Kuala Lumpur, Malaysia,Las Vegas, NV, USA,Singapore, Singapore,Los Angeles, CA, USA,San Diego, CA, USA,Cairns, Australia,Christchurch, New Zealand,Darwin, Australia,Franz Josef, New Zealand,",[u'Goal - Travel as much as possible. '],"Los Angeles Comprehensive Shuttle Tours, Los Angeles",,,5 of 5 stars,"
As i could not find a page for the LA Shuttle tours and it is the same company here is one. We did the LA tour with Getty.
The tour manager met us on time in front of the El Capitan theatre. He then gave a us a short information session while we walked around Hollywood. The bus drive then...


More 


"
AGinLA,Los Angeles,California, female , 25-34 ,"Los Angeles, CA, USA,San Diego, CA, USA,Avila Beach, CA, USA,Honolulu, HI, USA,Punta Cana, Dominican Republic,Scottsdale, AZ, USA,West Hollywood, CA, USA,Kingston, Jamaica,Montego Bay, Jamaica,Ocho Rios, Jamaica,Poipu, HI, USA,",[],"Burke Williams Spa, Los Angeles"," Spas
",,5 of 5 stars,"
Received a gift card as a ""mommy present"" so I came here for a pregnancy massage when I was 37 weeks pregnant.
The spa:
Very serene, relaxing, quiet. Lots of plain water, fruit-infused water, lemonade and fresh whole fruit. Also had tea and coffee in the front lobby room with the fireplace. Robes were plush and comfy. Nice, big showers....


More 


"
athas17,Los Angeles,Los Angeles,,,"Los Angeles, CA, USA,Avalon, CA, USA,Santa Barbara, CA, USA,Santa Paula, CA, USA,",[],"Burke Williams Spa, Los Angeles"," Spas
",,5 of 5 stars,"
You can't reach your local spa when you call. The call goes to a central location so you have to wait on hold for your local location. Then they call your home number using an automated recording confirming your appointment, which I felt was really unprofessional and cold. They got my appt time wrong on the recorded message so I...


More 


"
Darcey1111,Melbourne,Australia,,,"Hepburn Springs, Australia,Colle di Val d'Elsa, Italy,Los Angeles, CA, USA,",[],"Los Angeles Comprehensive Shuttle Tours, Los Angeles",,,,"
I'd like to WARN all travellers who are booking one of the tours through the website http://www.losangelestourshuttle.com (Los Angeles Comprehensive Shuttle Tours).
After having prebought a $59 ticket for a 6 hour tour of LA and turning up at the designated spot and the required time, the tour group did not turn up. Quite distressed, I was subsequently told by...


More 


"
aimmeus,Kuwait City,Kuwait, Female ,,"Boracay, Philippines,Roxas City, Philippines,Kuwait City, Kuwait,Lourdes, France,Iloilo City, Philippines,Los Angeles, CA, USA,Paris, France,Sabang, Philippines,Anaheim, CA, USA,Chicago, IL, USA,Hong Kong, China,Las Vegas, NV, USA,",[],"Burke Williams Spa, Los Angeles"," Spas
",,5 of 5 stars,"
My friends and I did a New Year's day treat for ourselves and did not regret it. Within minutes of walking in we were attended to, and while waiting for a masseuse or massage therapist we were directed to the lounge where there are fruits, cucumber water, and hot tea. Afterwhich we were given a brief tour of the facilities...


More 


"
TTITL,Los Angeles,Los Angeles,,,"Rose Hall, Jamaica,Los Angeles, CA, USA,Malibu, CA, USA,Sarasota, FL, USA,Big Bear Region,Oxnard, CA, USA,Palm Springs, CA, USA,San Diego, CA, USA,Burbank, CA, USA,Carlsbad, CA, USA,Jamaica, Caribbean,Santa Clarita, CA, USA,",[],"Burke Williams Spa, Los Angeles"," Spas
",,,"
I paid for a 50-minute massage and got 40 minutes of massage time because the massage therapist was late. The actual massage was very good, but unfortunate that something like this would happen at such expensive spa. The spa facility is very small. I would only recommend going here if you have a coupon for a massage. Not worth paying...


More 


"
robavo7846,Philadelphia,Pennsylvania,,,"Los Angeles, CA, USA,Orlando, FL, USA,",[],"Hollywood Tourz - Open Bus Tours, Los Angeles",,"Fun Sightseeing Open Bus Tours of Los Angeles, California. Located on the Walk of Fame in Hollywood. We offer 2 Hour Tours to the Hollywood Sign, Movie Locations, and Celebrity Homes. See Hollywood, West Hollywood, Beverly Hills, Bel Air, and Holmby Hills. From the Hollywood Blvd to Rodeo Drive, Ride through the Sunset Strip and Mulholland Drive. See You Soon!",,"
I took my daughter and wife to L.A. last weekend. It was my daughters first trip. When I found a groupon for Hollywood Tourz , I was thrilled. I keep telling my daughter how great these bus tours were. I have done them in the past and it saved me from driving around with a map.it allowed me to enjoy...


More 


"
AveburyL,los angeles,los angeles, Female ,,"Glastonbury, UK,New York City, NY, USA,Three Rivers, CA, USA,Avebury, UK,Los Angeles, CA, USA,Las Vegas, NV, USA,London, UK,Sequoia and Kings Canyon National Park, CA, USA,Traverse City, MI, USA,Vannes, France,Beverly Hills, CA, USA,Cabo San Lucas, Mexico,",[],"Burke Williams Spa, Los Angeles"," Spas
",,,"
I think the title speaks for itself. Avoid and spend your money somewhere that has some character and charm.
"
KapaaVisitor,Kapaa,Hawaii,,,"Kapaa, HI, USA,Honolulu, HI, USA,Los Angeles, CA, USA,Lihue, HI, USA,Escondido, CA, USA,Las Vegas, NV, USA,Primm, NV, USA,Anahola, HI, USA,Kauai, HI, USA,Waimea, HI, USA,Anaheim, CA, USA,Miami, FL, USA,",[],"Hollywood Tourz - Open Bus Tours, Los Angeles",,"Fun Sightseeing Open Bus Tours of Los Angeles, California. Located on the Walk of Fame in Hollywood. We offer 2 Hour Tours to the Hollywood Sign, Movie Locations, and Celebrity Homes. See Hollywood, West Hollywood, Beverly Hills, Bel Air, and Holmby Hills. From the Hollywood Blvd to Rodeo Drive, Ride through the Sunset Strip and Mulholland Drive. See You Soon!",,"
If it wasn't for the wonderful tour guide Johnny, our experience would of been horrible. First of all, called to confirm our tour and to ask questions. Nobody answered when I called three times and didn't even return my calls as I left messages for someone to call me back. I guess you gotta feel sorry for them. Either they...


More 


"
Kathy44141,Cleveland,Ohio, female , 50-64 ,"Monmouth, IL, USA,Anchorage, AK, USA,Juneau, AK, USA,Los Angeles, CA, USA,Orlando, FL, USA,Aberdeen, WA, USA,Albany, NY, USA,Albuquerque, NM, USA,Alexandria, VA, USA,Allison Park, PA, USA,Altoona, PA, USA,Annapolis, MD, USA,",[],"Oasis City Spa, Los Angeles",,,,"
I visited the Oasis City Spa while attending a conference in L.A. and staying at the O Hotel downtown on Flower Street. First, let me say that the manager, Tammy, is very nice and seems to be trying. The facility is small but nice, and they offer you champagne while you wait. After that, things went quickly downhill. My spa...


More 


"
Sonaye720,Old Bridge,New Jersey,,,"Los Angeles, CA, USA,Atlantic City, NJ, USA,London, UK,Miami, FL, USA,New York City, NY, USA,Niagara Falls, Ontario, Canada,Niagara Falls, NY, USA,Orlando, FL, USA,Philadelphia, PA, USA,Washington DC, DC, USA,",[],"E Hollywood Tours, Los Angeles"," Bus Tours
",,,"
We were met by a tour guide on the street from Hollywood Tours, just as any other tour company would greet you and offer their services. The man we spoke to was really nice, knowledgeable, and friendly. So we booked the Best of L.A. Tour with them. My tour guide was Afro-man, as he liked to call himself. His jokes...


More 


"
savesomeoneelse,Grande Prairie,Canada, female , 35-49 ,"Grande Prairie, Alberta, Canada,Serengeti National Park, Tanzania,Barcelona, Spain,Dar es Salaam, Tanzania,Mwanza, Tanzania,Chalong, Thailand,Selous Game Reserve, Tanzania,Anaheim, CA, USA,Nanaimo, British Columbia, Canada,Coombs, British Columbia, Canada,Chemainus, British Columbia, Canada,Parksville, British Columbia, Canada,",[],"E Hollywood Tours, Los Angeles"," Bus Tours
",,,"
Do not take this tour, it is a waste of good money; I Promise! Horrible experience :( I would list all the things wrong with this tour but honestly everything was bad.
"
Canadiatravelgoddess,Canada,Canada, female , 25-34 ,"Vancouver, British Columbia, Canada,Paris, France,Saskatoon, Saskatchewan, Canada,Tofino, British Columbia, Canada,Island of Hawaii, HI, USA,Cannes, France,Puako, HI, USA,Richmond, British Columbia, Canada,Victoria, British Columbia, Canada,West Vancouver, British Columbia, Canada,Kohala Coast,Los Angeles, CA, USA,","[u'I love to travel all over the world, to explore new places and meet people. ']","E Hollywood Tours, Los Angeles"," Bus Tours
",,,"
The tour guide ruined this trip for me. The sights were great however the tour guide was so unprofessional he said racist comments about Jews, blacks and Latinas. He also cat called women on the streets from the bus telling them their behinds resembled Kim kardashians.
I was appalled.
Never take this tour.
"
lola390,Melbourne,Australia,,,"Los Angeles, CA, USA,Adelaide, Australia,Alesund, Norway,Apollo Bay, Australia,Arizona City, AZ, USA,Atiu, Cook Islands,Atlanta, GA, USA,Baguio, Philippines,Bali, Indonesia,Ballarat, Australia,Banaue, Philippines,Bandar Seri Begawan, Brunei Darussalam,",[],"Los Angeles Tours, Los Angeles"," Bus Tours
",,5 of 5 stars,"
We went on a 12 day Yellowstone National Park, Mt. Rushmore, Arches, Yosemite, San Francisco, Grand Canyon West Tour Package. On the third day of our trip, we had a bus accident on the way to Devils Tower (Wyoming). The bus driver felt asleep for few seconds while driving. Unfortunately, my partner and I were the victims since we were...


More 


"
bumblebeesgowhee,,,,,"Los Angeles, CA, USA,",[],"Los Angeles Tours, Los Angeles"," Bus Tours
",,5 of 5 stars,"
I did the yellowstone, grand Canyon and yosemite 12 day trip. If you enjoy seeing the sites for 30-45 min and being on the bus 2+ hours between each visit ( totaling of 6+ hours in the bus) then this is the type of tour for you! I felt like we were more on the bus driving to the sites...


More 


"
kclwin,Yangon (Rangoon),Myanmar,,,"Los Angeles, CA, USA,",[],"Los Angeles Tours, Los Angeles"," Bus Tours
",,,"
Regard less of the previous review, we had been on tour with Sea Gull for 8 days Westcoast tour. There was no problem apart from Take tour did not pass on our message to the air port pick up about delayed arrival time in LA. But Sea Gull provided AP transfer to the hotel. Tracy, tour guide to Las Vegas...


More 


"
Redglue,Sydney,Australia, Female ,,"Los Angeles, CA, USA,Surfers Paradise, Australia,Sydney, Australia,Kuching, Malaysia,Las Vegas, NV, USA,Singapore, Singapore,Yellowstone National Park, WY, USA,Devils Tower, WY, USA,Marina del Rey, CA, USA,Melaka, Malaysia,Salt Lake City, UT, USA,Anaheim, CA, USA,",[],"Los Angeles Tours, Los Angeles"," Bus Tours
",,,"
This was my first guided tour. Thank you very much Leslie Lee our tour guide and driver Tony (I think that's his name). Leslie was well organised throughout the whole trip. The driver was extremely careful on the road. We saw a truck overturned on our way back to Las Vegas.
It's a fantastic 7-day trip. It was hectic but...


More 


"
Nadjaa1992,,,,,"Los Angeles, CA, USA,",[],"Los Angeles Tours, Los Angeles"," Bus Tours
",,,"
I did the 7 days -la, Las Vegas and san Francisco trip. And it was horrible! First they Didn't picked me up at the Airport, i tried to call them, no one answered the phone. It was not After 10:30pm so normaly there is a pick up! I only had the Name of the Hotel ""best Western plus lax"" yes,...


More 


"
RoniHertfordshire,Hertfordshire,Hertfordshire,,,"Cabanas, Portugal,Cambria, CA, USA,Potters Bar, UK,San Francisco, CA, USA,San Simeon, CA, USA,Torrevieja, Spain,Dubai, United Arab Emirates,Los Angeles, CA, USA,St Albans, UK,Assisi, Italy,Barcelona, Spain,Bruges, Belgium,",[],"Los Angeles Tours, Los Angeles"," Bus Tours
",,,"
If, like me, you are not overly interested in spotting 'celebrities' the bus is a good way to see the sites of LA! Had the opportunity to take pictures of the well known sites to prove I was there. Got on the bus by 10am back in Santa Monica by 4pm - camera full of pictures - job done!
"
CaliforniaViv,Torrance,California, female , 50-64 ,"Las Vegas, NV, USA,New York City, NY, USA,Sedona, AZ, USA,Torrance, CA, USA,Long Beach, CA, USA,Los Angeles, CA, USA,Mammoth Lakes, CA, USA,Manhattan Beach, CA, USA,Redondo Beach, CA, USA,Tacoma, WA, USA,Charleston, SC, USA,Hermosa Beach, CA, USA,",[],"The City Tour Los Angeles Day Tours, Los Angeles"," Tours
",,,"
This is the most horrendous experience we ever had. We did not get to go on the tour that was scheduled for Sunday, Feb. 26. They do not tell you the time of the tour until supposedly the day before. I kept phoning and e-mailing them because my friend and I needed to coordinate meeting and going on the tour....


More 


"
Char12340,Strongsville,Ohio,,,"Playa del Carmen, Mexico,Strongsville, OH, USA,Los Angeles, CA, USA,Lucerne, Switzerland,Dublin, Ireland,Puerto Morelos, Mexico,Chicago, IL, USA,New Orleans, LA, USA,Middleburg Heights, OH, USA,San Diego, CA, USA,San Francisco, CA, USA,Berea, OH, USA,",[],"The City Tour Los Angeles Day Tours, Los Angeles"," Tours
",,,"
You might want to pack a few bottled waters and a power bar. The last part of the tour after lunch certainly WAS NOT worth the extra time or money! Quit while you're ahead with return to your hotel after lunch @ Universal.
"
Indiehue,,,,,"Los Angeles, CA, USA,Avalon, CA, USA,Long Beach, CA, USA,Culver City, CA, USA,El Segundo, CA, USA,Los Angeles, TX, USA,Marina del Rey, CA, USA,West Hollywood, CA, USA,",[],"The City Tour Los Angeles Day Tours, Los Angeles"," Tours
",,,"
I caught a great deal on one of those living social type sites.. It was a pretty pleasant experience.. The pros ..Our tour guide King was very nice and kept us entertained throughout the tour and one of the restaurants we visited Yojie was great and I have already been back :)
The cons.. We didn't find out where we...


More 


"
