Caravaggio2013,Ottawa,Canada,,,"['montreal', ' quebec']",[' canada'],[],"MANN, Montreal",,,5 of 5 stars,"This past Saturday, I braved the cold weather and visited MANN for what has truly been the best hot towel shave I have ever experienced. I have had the opportunity to be treated to some grooming by some of the best barber shops in Canada (Ex: Truefitt & Hill in Toronto or Momentum Grooming in Vancouver). Gentlemen, mark my words, Anne-Marie, who took care of me, provided the best shaving I have ever experienced. She masters this unique and forgotten tradecraft and handles the straight razor like a skilled master. There are simply not enough barbers left who master such an art. A true perfectionist with delicate finesse, Anne-Marie is a true artist. Gentlemen, take note. As for MANN, you have a hidden gem in your hands. Kindest regards!"
Svella35,,,,,"['montreal', ' quebec']",[' canada'],[],"NStyle Nail Lounge, Montreal",,,5 of 5 stars,"Last week I went there with my husband for massage for him and facial for me. I was very satisfied with the professional service. It was very relaxing. The price for the massage was only $75, which is very reasonable price in Downtown. The facial costed a bit more. They use the skin line "" Heaven"" which is made of bee venom, which works amazing on the skin."
mltuomisto,Newmarket,Canada, female , 35-49 ,"['montreal', ' quebec', 'moncton', ' new brunswick', 'vasto', 'florence', 'venice', 'niagara falls', ' ontario', 'chicago', ' il', 'rome', 'cranberry township', ' pa', 'hopewell cape', ' new brunswick', 'newmarket', ' ontario', 'pittsburgh', ' pa']","[' canada', ' italy', ' usa']",[],"Away Spa at the W Hotel, Montreal"," Spas
",,5 of 5 stars,"
Not to be missed! Sacred Nature Natural Organic Ritual is like nothing you've ever experience and won't leave you disappointed
"
CatheryneD,Milan,Italy,,,"['warsaw', 'montreal', ' quebec', 'abu dhabi', 'amsterdam', 'antalya', 'bali', 'bangkok', 'barcelona', 'beirut', 'belek', 'bergamo', 'bodrum city']","[' poland', ' canada', ' united arab emirates', ' the netherlands', ' turkey', ' indonesia', ' thailand', ' spain', ' lebanon', ' italy']",[],"Away Spa at the W Hotel, Montreal"," Spas
",,5 of 5 stars,"being a ""massage addict"" and trying all the best SPA around the world, i was very surprised (in a good way) to find such a great masseuse in Montreal .
Yolanta is one of the best masseuse/therapist (probably the best ) i ever had. she is like a doctor who made you feel more healthy after each therapy :)
she made my stay in the "" W"" , i'm checking her schedule and going for massage therapy every time she is available ...for 2weeks already...and only1more week left:(
i think i have to come back to Montreal for a massage in the ""W"" ;)"
tyeung612,New York City,New York, female , 25-34 ,"['san diego', ' ca', 'montreal', ' quebec', 'bavaro', 'palm - eagle beach', 'seattle', ' wa', 'atlantic city', ' nj', 'baltimore', ' md', 'belize city', 'brooklyn', ' ny', 'buffalo', ' ny', 'charlotte amalie', 'chatham', ' ma']","[' usa', ' canada', ' dominican republic', ' aruba', ' belize', ' u.s. virgin islands']",[],"Away Spa at the W Hotel, Montreal"," Spas
",,5 of 5 stars,"I have been to many spas in NY but this does not compare. I ordered an Aroma Polish that comes with a 30min scrub and Swedish massage, and added an essential facial. My technician Melanie was one of the best and had the softest hands I'd ever felt. She was petite, but she sure was experienced and for 3 hours, I'd forgotten about the rest of the world. She began the session with a 5 minute chat on problem areas, what I wanted her to work on, etc. She asked me about my comfort level of various areas (ie breast and buttocks). She made me feel so comfortable that it was never an issue. As she worked the scrub she felt around to see my areas of tension. After the scrub, she escorted me to the shower which she already had the water running and towels and fresh robes laid out. During the massage, she used her expertise to figure out my most stressed areas and I'm sure I fell asleep because before I knew it, the massage was over and she was moving on to my facial. The facial itself was relaxing as she kept my eyes covered even in bright light so it was never distracting to me. There was an enzyme leave on facial peel that she gave me at the end and I would have loved to purchase that item, but she said that was the one item that was for professional use only and could not be sold to me. Go figure! There was never any pressure to buy any of the products as she left me recommendations on a sheet and left it at that. She truly made my spa experience so relaxing. I would go back to Montreal just to find her! All in all, i would recommend this spa. If you've been to the Bliss Spa's that are in the W Hotel Chains you will love this one. It is the ONLY W Hotel that has it's own spa using products from France and Italy. This is a must go to spa if you're looking for a few hours of extreme bliss."
saffycam,Toronto,Toronto,,,"['isla de vieques', 'montreal', ' quebec', 'new york city', ' ny', 'toronto', ' ontario']","[' puerto rico', ' canada', ' usa']",[],"Away Spa at the W Hotel, Montreal"," Spas
",,5 of 5 stars,"
The spa was calm, warm and cozy tucked into the lower level of the hotel. It was quiet. The staff were highly professional and accommodating. My masseur Michael was excellent and full of great advice to maintain my blissed out state.
"
tiboeuf3,Cornwall,Canada, female , 35-49 ,"['san francisco', ' ca', 'brossard', ' quebec', 'montreal', ' quebec', 'port saint lucie', ' fl', 'cornwall', ' ontario', 'dorval', ' quebec', 'esterel', ' quebec', 'ottawa', ' ontario', 'port hope', ' ontario', 'puerto morelos', 'waterloo', ' ny']","[' usa', ' canada', 'ontario', ' mexico']",[],"Away Spa at the W Hotel, Montreal"," Spas
",,5 of 5 stars,"
The staff was personable but not too chatty, which I like. The hot stone massage was fantastic but a bit expensive.
"
xxhtrxx,Newport Beach,California,,,"['manchester', ' vt', 'londonderry', ' vt', 'montreal', ' quebec', 'santa barbara', ' ca', 'st maarten-st martin', 'west end village', 'los angeles', ' ca']","[' usa', ' canada', ' caribbean', ' anguilla']",[],"Away Spa at the W Hotel, Montreal"," Spas
",,4 of 5 stars,"Being a professional athlete has given me the opportunity to trial a few masseurs in my time.

I HIGHLY HIGHLY HIGHLY recommend Michael at the Away Spa!!! He is absolutely amazing at understanding your needs, making you feel relaxed, working through any tension points and gives his ALL through the entire session. Michael is extremely thorough and very professional. His medical background along with his work and advice on how to take care of your body in between and during your travels is unique and much appreciated.

Thank you Michael for rejuvenating me and looking forward to booking an appt next time I swing through Montreal!"
Alexdubois99,Montreal,Montreal,,,"['montreal', ' quebec', 'pelham', ' ontario']",[' canada'],[],"MANN, Montreal",,,5 of 5 stars,Excellent Massage pour un hotel 4 toiles. Digne d'un 5 toiles! Je le recommande a tout le monde. Massage pour homme excellent aussi.
Virginief1,Cannes,France, female , 25-34 ,"['paris', 'montpellier', 'montreal', ' quebec', 'london', 'barcelona', 'venice', 'akumal', 'cannes', 'le grau-du-roi', 'marne-la-vallee', 'mougins', 'nice']","[' france', ' canada', ' uk', ' spain', ' italy', ' mexico']",[],"Caleche Rides in Old Montreal, Montreal"," Tours
",,5 of 5 stars,Devant la basilique nous avons pris une calche pour faire le tour du vieux Montral avec les supers explications de notre guide super sympa!!!! King (le cheval) tait en grande forme pour faire le tour! 45$ pour 4 adultes et 1 enfant trs raisonnable et surtout a les vaut!!!!
shahadrash,,,,,"['montreal', ' quebec']",[' canada'],[],"Away Spa at the W Hotel, Montreal"," Spas
",,5 of 5 stars,"The W hotel provided every imaginable service possible. The concierag was available at all times, services never stopped and the staff was very helpful. At one point my sister hurt her foot badly during the stay, the W proceeded to find crutches and a wheelchair to have them ready for when she returned to the hotel later that night. Aside from that, the location is perfect. Within walking distance is st.catherine street, with all the shops and clubs, and old montreal. I absolutely recommend this hotel to everyone"
tcquebec,Montreal,Canada,,,"['brussels', 'montreal', ' quebec', 'barcelona', 'anaheim', ' ca', 'hollywood', ' fl', 'the pas', ' manitoba', 'agadir', 'alicante', 'amsterdam', 'antwerp', 'argeles-sur-mer', 'athens']","[' belgium', ' canada', ' spain', ' usa', ' morocco', ' the netherlands', ' france', ' greece']",[],"Narayan, Montreal",,,5 of 5 stars,"Accueil personnalis et discret
Salle de massage d'une grande propret ainsi que la salle de bain
Thierry est a notre coute et nous explique bien le massage qu'il va faire
Il a des mains de rve, a essayer absolument !!"
RoxidouNoiro,Montreal,Canada, , 50-64 ,"['montreal', ' quebec', 'auckland', 'avignon', 'saint-lambert', ' quebec', 'arles', 'amsterdam', 'gdansk', 'havana', 'alexandria', ' va', 'baltimore', ' md', 'macau', 'morgantown', ' wv']","[' canada', ' new zealand', ' france', ' the netherlands', ' poland', ' cuba', ' usa', ' china']","[u'good ratio quality-price, good location where security and cleanliness are good and near attraction. Non smoking to avoid unwanted odors. ']","Caleche Rides in Old Montreal, Montreal"," Tours
",,5 of 5 stars,"
We took the ride on a warm summer day. Instead of getting someone who would complaint about everything, the driver was an amazing guide explaining Montreal, building, important people. Lovely to see all those people walking around and strolling in Old Montreal. Spring, summer and the month of Octiber are great in Old Montreal.
"
jet7adept,,,,,"['montreal', ' quebec']",[' canada'],[],"Visit Quebec Agency Day Tours, Montreal", To maximize your enjoyment during your vacation. ,,5 of 5 stars,
aabcdd,,,,,"['montreal', ' quebec', 'san francisco', ' ca', 'calgary', ' alberta', 'new york city', ' ny', 'markham', ' ontario', 'north conway', ' nh', 'brossard', ' quebec', 'banff national park', ' alberta', 'irvine', ' ca', 'lake louise', ' alberta', 'millbrae', ' ca', 'orlando', ' fl']","[' canada', ' usa']",[],"Tastes and Aromas of Old Montreal, Montreal",,,5 of 5 stars,"
This tour is a must do for EVERYONE! It doesnt have to be just a tourist thing to do (I'm actually born and raised in Montreal...) The different tastes they bring you to, and especially the history that you learn throughout the tour is amazing! 2.5 hours of good food and great learnings for all ages!
"
Maggie'sGirl,Western North Carolina,Western North Carolina, female , 65+ ,"['waynesville', ' nc', 'montreal', ' quebec', 'asheville', ' nc', 'camdenton', ' mo', 'saint louis', ' mo', 'aberdare national park', 'amana', ' ia', 'bonita springs', ' fl', 'edinburgh', 'klamath falls', ' or', 'nairobi', 'tallahassee', ' fl']","[' usa', ' canada', ' kenya', ' uk']","[u'We prefer to travel with long time Purdue friends. We love to go into a country a few days early, rent an apartment and enjoy the town as a native. Is a wonderful launch for another adventure that may be a cruise, a tour or a safari. We are learning that planning ahead as well as arriving ahead takes some of the stress out of travel, especially International travel. Flying anymore is a hassle for sure. ']","Caleche Rides in Old Montreal, Montreal"," Tours
",,5 of 5 stars,"
We were in town on the hottest day of the season and taking a caliche' tour appealed to us. We had a recommendation from friends who took a carriage ride the day before. They said make sure you have Max as your guide, along with Charlie, his horse. We arrived in front of Notre Dame Basilica and there was Max...


More 


"
Mickael_T2605,Paris,France,,,"['montreal', ' quebec']",[' canada'],[],"Visit Quebec Agency Day Tours, Montreal", To maximize your enjoyment during your vacation. ,,5 of 5 stars,"Nous avons pass une aprs midi d'quitation dans une fort canadienne et nous avons t trs satisfaits du service offert par cette agence, qui correspondait  ce que nous attendions avec une guide trs sympathique."
JezzLgndr,Montreal,Canada,,,"['dublin', 'montezuma', 'montreal', ' quebec', 'rome', 'acharavi', 'albany', ' ny', 'amsterdam', 'barcelona', 'belfast', 'bergen', 'berlin', 'blarney']","[' ireland', ' costa rica', ' canada', ' italy', ' greece', ' usa', ' the netherlands', ' spain', ' uk', ' norway', ' germany']",[],"Tours Kaleidoscope, Montreal",,,5 of 5 stars,"Jai eu la chance de faire la visite du Montral Souterrain et de dcouvrir une multitude daspect encore mconnue de ma propre ville! Ivan Drouin, notre guide, est une mine dor dinformation et il nous partage anecdotes et faits dans une ambiance invitante et agrable. Merci encore pour cette fabuleuse visite, jai bien hte den refaire une!"
ThemisMg,Clermont-Ferrand,France,,,"['rome', 'chateauneuf-du-pape', 'clermont-ferrand', 'montreal', ' quebec']","[' italy', ' france', ' canada']",[],"Visit Quebec Agency Day Tours, Montreal", To maximize your enjoyment during your vacation. ,,5 of 5 stars,
meli618,Montreal,Montreal, female , 25-34 ,"['montreal', ' quebec', 'athens', 'louisbourg', ' nova scotia', 'arlington', ' va', 'asprovalta', 'atlantic city', ' nj', 'bogota', 'boston', ' ma', 'brooklyn', ' ny', 'cambridge', ' ma', 'cambridge', ' ontario', 'cape breton island', ' nova scotia']","[' canada', ' greece', ' usa', ' colombia']",[],"Maison Ishi, Montreal",,,5 of 5 stars,"Amazing massages! I have been here twice and can't wait to go back. The staff are very warm and welcoming, and quickly get you settled into the salon upstairs and offer you a drink and a snack. The massage always comes with a little ""extra"" treatment that you can choose from, and all of them are spectacular. The massage therapists are very professional, approachable and they listen to exactly what you need. I will definitely be going back soon!"
name,memberCity,memberCounry,MemberGender,memberAge,CitiesVisited,Countriesvisited,memberDescription,Activitiy,Type,ownerdesc,rating,review
26stastny26,Montreal,Canada, male , 25-34 ,"['reykjavik', 'london', 'rome', 'ottawa', ' ontario', 'akureyri', 'boston', ' ma', 'lake placid', ' ny', 'montreal', ' quebec', 'paris', 'burlington', ' vt', 'myvatn', 'new york city', ' ny']","[' iceland', ' uk', ' italy', ' canada', ' usa', ' france']",[],"Le Petit Navire, Montreal"," Boat Tours
",,5 of 5 stars,"
We have taken this mini-cruise earlier this week as a Groupon deal. The boat uses only electricity and probably the most ""green"" mini-cruise in the old port. The boat captain/guide was informative and quite knowledgeable about Montreal's history. Even for a Montrealer, this tour is quite pleasant. Definitely worth the deal.
"
Minamtl,Montreal,Canada, female , 35-49 ,"['st maarten-st martin', 'savaneta', 'palm - eagle beach', 'jamaica', 'montreal', ' quebec', 'oranjestad', 'tortuguero', 'nassau', 'siesta key', ' fl', 'la fortuna de san carlos', 'montezuma', 'noord']","[' caribbean', ' aruba', ' canada', ' costa rica', ' bahamas', ' usa']",[u'Snorkel lovers family. '],"Le Tsar Spa, Montreal",,,5 of 5 stars,"Tsar Spa was our first Russian spa style experience.
I reserved a package (Nordic spa and massage) for hubby and me.
We had been greeted so nicely, and been explained how things work there.
The place is a long apartment and at the end of it, you discover this unique Nordic spa behind a heavy wooden door. It is small yet cosy with wooden walls. We had it for the 2 of us. What a feeling ! Plants, the sound of water, 2 chairs and a small table in between with a Russian tea, classy cups and a beautiful bouquet of roses. We had a basket with towels, water, slippers, bathrobe etc. We felt as we were in a romantic getaway and loved it! The sauna was so hot (with pine scented water) that it helped us jump in the frozen small pool(with rose petals). You can then relax and sip the hot Russian tea. What a perfect atmosphere for a good relaxation! It is really a clean, quiet and comforting place; a different way to experience a Nordic spa, as you don't have huge pools and large areas but no crowd either. Massage time came and I quickly realised I was having one of the best treatment I ever had. It is not easy to find a massage therapist who performs the way you like, and Irina was a gem for me (deep tissue, percussions, hot oil, and she finishes with a hot humid towel to wipe off the massage oil off your skin). Did I mentioned that under the massage table there was another bouquet of roses? Have you ever seen that before? When I was done, I would loved to have my bed right there. I have to point out that the music Irina puts is not the kind we are used to hear and that adds to the experience (Aretha Franklin, jazz, blues). I hope you will get a chance to experience something like that or to think about it to make someone happy."
bkr122,Washington DC,District of Columbia,,,"['montreal', ' quebec', 'rehoboth beach', ' de', 'albany', ' ny', 'albuquerque', ' nm', 'alexandria', ' va', 'allentown', ' pa', 'anaheim', ' ca', 'anchorage', ' ak', 'ann arbor', ' mi', 'annapolis', ' md', 'arlington', ' va', 'atlanta', ' ga']","[' canada', ' usa']",[],"Visit Quebec Agency Day Tours, Montreal", To maximize your enjoyment during your vacation. ,,1 of 5 stars,"I called this organization to try to book 2 tours. The nice lady who answered the phone, who spoke in broken English, asked me to call back on Monday. I'm not sure whether she understood me, but I gave her the benefit of the doubt (it seems to me that if the organization wants the business, IT would be calling the customer and not inconveniencing the customer by asking the customer to call a second time). Well, I called today, as instructed, and no one answered the phone. I left a message asking someone to return my call. It's now almost 7p (EDT) and I haven't heard a word. What's that all about? Bad way to run a railroad."
Tooteroo,Portland OR,Portland OR, female , 35-49 ,"['portland', ' or', 'montreal', ' quebec', 'puerto vallarta', 'aswan', 'vancouver', ' wa', 'corbett', ' or', 'quebec city', ' quebec', 'bridal veil', ' or', 'newberg', ' or', 'oregon city', ' or', 'troutdale', ' or']","[' usa', ' canada', ' mexico', ' egypt']",[],"Tastes and Aromas of Old Montreal, Montreal",,,4 of 5 stars,"
Our guide (Ronald) made an excellent presentation of Old Montreal's greatest hits and had a lot to offer on both past and present food scenes. A very gentle walking pace and a few representative food samples- but more information than food. This is an excellent tour for first time visitors to Montreal.
"
meli618,Montreal,Montreal, female , 25-34 ,"['montreal', ' quebec', 'athens', 'louisbourg', ' nova scotia', 'arlington', ' va', 'asprovalta', 'atlantic city', ' nj', 'bogota', 'boston', ' ma', 'brooklyn', ' ny', 'cambridge', ' ma', 'cambridge', ' ontario', 'cape breton island', ' nova scotia']","[' canada', ' greece', ' usa', ' colombia']",[],"Maison Ishi, Montreal",,,5 of 5 stars,"Amazing massages! I have been here twice and can't wait to go back. The staff are very warm and welcoming, and quickly get you settled into the salon upstairs and offer you a drink and a snack. The massage always comes with a little ""extra"" treatment that you can choose from, and all of them are spectacular. The massage therapists are very professional, approachable and they listen to exactly what you need. I will definitely be going back soon!"
Avatah,Melbourne,Australia,,,"['istanbul', 'kas', 'asheville', ' nc', 'byron bay', 'philadelphia', ' pa', 'tirana', 'boston', ' ma', 'goreme', 'agra', 'banff', ' alberta', 'dublin', 'eceabat']","[' turkey', ' usa', ' australia', ' albania', ' india', ' canada', ' ireland']",[],"McAuslan Brewing, Montreal",,,5 of 5 stars,"
I spent an enjoyable evening at the McAuslan Brewing Annexe (located in the building next to McAuslan Brewing). The staff were perfectly bilingual having no problem assisting us in both English and French. We were able to taste samples of beer before ordering and they have many varieties of their own beer on tap. Snacks are also available. They have...


More 


"
clies,Montreal,Canada, male , 35-49 ,"['montreal', ' quebec', 'venice', 'new york city', ' ny', 'niagara falls', ' ontario', 'key west', ' fl', 'miami beach', ' fl', 'ottawa', ' ontario', 'strasbourg', 'bielefeld', 'boston', ' ma', 'burano', 'carp', ' ontario']","[' canada', ' italy', ' usa', ' france', ' germany']",[],"Tours Kaleidoscope, Montreal",,,5 of 5 stars,"You cannot miss their tours. Just did Montreal Chinatown visit with them, I spent 2.5 hours with an amazing tour guide.
They organize tours in different areas of the city. You do it in small groups (around 20 people, by walking).
I'm living in Montreal since 12 years, thought that town has nothing to reveal regarding history and architecture. I was wrong.
The people of tours kaleidoscope are just great, passionated,tons of knowledge of their city.
I did Chinatown with them, will do 2 others tours soon and let you know."
Beenmostplaces,Montreal,Canada, female , 50-64 ,"['sutton', ' quebec', 'montreal', ' quebec', 'istanbul', 'bogota', 'sanliurfa', 'antakya', 'diyarbakir', 'quebec city', ' quebec', 'tulum', 'divrigi', 'enosburg falls', ' vt']","[' canada', 'quebec', ' turkey', ' colombia', ' mexico', ' usa']",[],"Amerispa, Montreal",,,4 of 5 stars,"I went with a girlfriend on a hot sunny September afternoon. Maybe because it was midweek we were virtually the only people there. The showers and changing room were very clean. We bypassed the sauna and steam room and headed out to the jacuzzis which were large and a nice temperature. Access to the spa also gives you access to the hotel jacuzzis and swimming pool which was lovely with plenty of sun beds and a great view of the mountains. A very nice place to spend a day. There was also a nice looking lounge so even if it was raining you could read and relax. They told us that in the winter the terrace is heated to keep it clear from snow - I would happily go back.
Tip - there is a cheaper evening rate but check out when they close
Tip - it gets very busy at weekends and I could imagine it being a bit claustrophobic so pick your day and time with care"
Saxmanian,Montreal,Canada,,,"['montreal', ' quebec', 'dorval', ' quebec', 'dollard-des-ormeaux', ' quebec']",[' canada'],[],"Fromagerie Ruban Bleu, Montreal",,,5 of 5 stars,"
Not to be missed. The people are committed to their craft. The location is a bit in the middle of nowhere, but a treat to visit. Closed Tuesdays and Wednesdays (I think). Check em out if you love goat cheese. I posit you will be impressed.
"
Caravaggio2013,Ottawa,Canada,,,"['montreal', ' quebec']",[' canada'],[],"MANN, Montreal",,,5 of 5 stars,"This past Saturday, I braved the cold weather and visited MANN for what has truly been the best hot towel shave I have ever experienced. I have had the opportunity to be treated to some grooming by some of the best barber shops in Canada (Ex: Truefitt & Hill in Toronto or Momentum Grooming in Vancouver). Gentlemen, mark my words, Anne-Marie, who took care of me, provided the best shaving I have ever experienced. She masters this unique and forgotten tradecraft and handles the straight razor like a skilled master. There are simply not enough barbers left who master such an art. A true perfectionist with delicate finesse, Anne-Marie is a true artist. Gentlemen, take note. As for MANN, you have a hidden gem in your hands. Kindest regards!"
Svella35,,,,,"['montreal', ' quebec']",[' canada'],[],"NStyle Nail Lounge, Montreal",,,5 of 5 stars,"
Last week I went there with my husband for massage for him and facial for me. I was very satisfied with the professional service. It was very relaxing. The price for the massage was only $75, which is very reasonable price in Downtown. The facial costed a bit more. They use the skin line "" Heaven"" which is made of...


More 


"
mltuomisto,Newmarket,Canada, female , 35-49 ,"['montreal', ' quebec', 'moncton', ' new brunswick', 'vasto', 'florence', 'venice', 'niagara falls', ' ontario', 'chicago', ' il', 'rome', 'cranberry township', ' pa', 'hopewell cape', ' new brunswick', 'newmarket', ' ontario', 'pittsburgh', ' pa']","[' canada', ' italy', ' usa']",[],"Away Spa at the W Hotel, Montreal"," Spas
",,5 of 5 stars,"
Not to be missed! Sacred Nature Natural Organic Ritual is like nothing you've ever experience and won't leave you disappointed
"
